Clue	Name	Artist	Player 1 Points	Player 2 Points	Player 3 Points
1	Africa	TOTO
2	Sweet Home Alabama	Lynyrd Skynyrd
3	Miami	Will Smith
4	The Final Countdown	Europe
5	Carry on Wayward Son	Kansas
6	25 or 6 to 4 - 2002 Remaster	Chicago
7	More Than a Feeling	Boston
8	Heat Of The Moment	Asia
9	Take My Breath Away (as heard in Top Gun) (Re-Recorded / Remastered)	Berlin
10	Brandy (You're a Fine Girl)	Looking Glass
11	Jolene	Dolly Parton
12	Sweet Caroline	Neil Diamond
13	Black Betty	Ram Jam
14	My Sharona	The Knack
15	Sherry	Frankie Valli & The Four Seasons
16	Proud Mary	Tina Turner
17	Mandy	Barry Manilow
18	Roxanne	The Police
19	Tom Sawyer	Rush
20	Hey Joe	Jimi Hendrix
21	You Can Call Me Al	Paul Simon
22	Mr. Crowley	Ozzy Osbourne
23	Hit the Road Jack	Ray Charles
24	Johnny B. Goode	Chuck Berry
25	Fernando	ABBA
26	Jessie's Girl	Rick Springfield
27	Jumpin' Jack Flash	The Rolling Stones
28	Smooth Operator	Sade
29	Careless Whisper	George Michael
30	Who Can It Be Now?	Men At Work
31	I Want A New Drug	Huey Lewis & The News
32	Mr. Saxobeat	Alexandra Stan
33	I Can't Go for That (No Can Do)	Daryl Hall & John Oates
34	She Works Hard For The Money - Single Version	Donna Summer
35	Super Freak	Rick James
36	Maneater	Daryl Hall & John Oates
