2ccUQnjjNWT0rsNnsBpsCA	Surrender	Cheap Trick	43	3	Titles in Stereo
5Qkixf9OjJp5a4XphaONKO	Surrender	Elvis Presley	27	4	Titles in Stereo
4pNiE4LCVV74vfIBaUHm1b	Sir Duke	Stevie Wonder	0	2	You had me at go
4TAIJ3Z6vDok9a6fPlfwvQ	The Blue Danube, Op. 314	Johann Strauss II	8	7	All Class, I call
5nsYZFNyMefd50yamWgMfy	Pomp and Circumstance, Op. 39: No. 1, March in D Major	Edward Elgar	106	5	All Class, I call
0E5hOWDYTbgNLbupOH4EDS	Il barbiere di Siviglia: Overture	Gioachino Rossini	124	8	All Class, I call
4gVTozEmzwAUXpwj3jEetX	Highway Star	Deep Purple	99	6	In Living Colour
1HOMkjp0nHMaTnfAkslCQj	My Sharona	The Knack	43	5	The Band, The
5pMmWfuL0FTGshYt7HVJ8P	SOS	ABBA	59	2	Titles in Stereo
30cSNer6TV8x2utjULVeQ5	SOS	Rihanna	71	4	Titles in Stereo
56KqaFSGTb7ifpt16t5Y1N	Rock the Casbah - Remastered	The Clash	45	7	The Band, The
1Ojz92vyPK4fJ5K8RVnV5u	The Four Seasons - Summer in G Minor, RV. 315: III. Presto	Antonio Vivaldi	12	8	All Class, I call
1DtoFS423q4L3whcGRXJjX	Die Walkürie, WWV 86b, Act III: Ride of the Valkyries	Richard Wagner	22	8	All Class, I call
2EqlS6tkEnglzr7tkKAAYD	Come Together - Remastered 2009	The Beatles	0	4	You had me at go
4u9f8hqstB7iITDJNzKhQx	My Generation - Stereo Version	The Who	5	5	The Band, The
3LQPTJEqOfljGBxmpgUnoC	American Woman	The Guess Who	97	6	The Band, The
0vFOzaXqZHahrZp6enQwQb	Money	Pink Floyd	87	6	In Living Colour
6v4pemwpkW7msCbBtSJf15	New Orleans Is Sinking	The Tragically Hip	196	5	The Band, The
0jdC0qjxN4C5tJDSyZJOoZ	Crazy Train - 2002 Version	Ozzy Osbourne	0	3	You had me at go
0RgcOUQg4qYAEt9RIdf3oB	Shining Star	Earth, Wind & Fire	0	4	You had me at go
7N3PAbqfTjSEU1edb2tY8j	Jump - 2015 Remaster	Van Halen	114	4	Titles in Stereo
4k0bXm9Q4RaTuYi09i4lKK	Jump (For My Love)	The Pointer Sisters	35	3	Titles in Stereo
39l1UORIhuHvUWfxG53tRZ	Let's Get It On	Marvin Gaye	0	2	You had me at go
4jU7NPkz4HVnM4hweqNhI1	Blue Orchid	The White Stripes	45	6	In Living Colour
0zR59SRM5pQNPC7U9E3xtZ	China Grove	The Doobie Brothers	0	4	You had me at go
6FTbcEZRjgwGgLKPZjSXHc	Symphony No. 9 in D Minor, Op. 125 "Choral": IV. Presto "Ode to Joy"	Ludwig van Beethoven	2	8	All Class, I call
5QTxFnGygVM4jFQiBovmRo	(Don't Fear) The Reaper	Blue Öyster Cult	30	7	In Living Colour
5t9KYe0Fhd5cW6UYT4qP8f	Good Vibrations - Remastered 2001	The Beach Boys	38	6	The Band, The
0mHyWYXmmCB9iQyK18m3FQ	Hello	Lionel Richie	50	4	Titles in Stereo
1Yk0cQdMLx5RzzFTYwmuld	Hello	Adele	79	4	Titles in Stereo
5LxvwujISqiB8vpRYv887S	I Want You Back	The Jackson 5	0	4	You had me at go
6L89mwZXSOwYl76YXfX13s	Basket Case	Green Day	22	6	In Living Colour
2d7139N7CJ9eJmGVE42Y44	Carmina Burana: O Fortuna	Carl Orff	101	8	All Class, I call
1Y373MqadDRtclJNdnUXVc	Paranoid - 2012 - Remaster	Black Sabbath	18	6	In Living Colour
4fzsfWzRhPawzqhX8Qt9F3	Stronger	Kanye West	69	3	Titles in Stereo
5QhBKPqsnX1uY9fZNaAtZg	Stronger	Britney Spears	44	4	Titles in Stereo
7agqowjjStyVeTdJPM2yMl	Photograph	Nickelback	15	3	Titles in Stereo
18URo35acNKRTHfEdjTcGn	Photograph	Def Leppard	33	4	Titles in Stereo
63T7DJ1AFDD6Bn8VzG6JE8	Paint It, Black	The Rolling Stones	15	6	The Band, The
3SFXsFpeGmBTtQvKiwYMDA	Pretty Fly (For A White Guy)	The Offspring	81	4	The Band, The
